0.025,97571.078
0.442,97399.51
0.54,97289.216
0.736,97129.902
0.834,96958.333
1.08,96835.784
1.227,96651.961
1.521,96541.667
1.668,96406.863
1.914,96321.078
2.11,96161.765
2.208,96075.98
2.405,95977.941
2.503,95867.647
2.748,95745.098
2.993,95622.549
3.19,95524.51
3.337,95463.235
3.533,95377.451
3.68,95291.667
3.877,95230.392
3.975,95132.353
4.171,95083.333
4.368,95022.059
4.564,94936.275
4.76,94862.745
4.956,94813.725
5.153,94752.451
5.398,94654.412
5.643,94605.392
5.987,94544.118
6.33,94458.333
6.87,94397.059
7.263,94384.804
7.901,94335.784
8.49,94372.549
8.98,94384.804
9.52,94421.569
9.815,94446.078
10.256,94470.588
10.6,94593.137
11.238,94605.392
11.827,94678.922
12.219,94703.431
12.808,94764.706
13.397,94813.725
13.986,94862.745
14.526,94887.255
14.869,94948.529
15.409,95022.059
16.096,95058.824
16.783,95120.098
17.225,95181.373
17.715,95218.137
18.304,95279.412
18.844,95316.176
19.531,95389.706
20.071,95475.49
20.807,95524.51
21.396,95598.039
21.887,95622.549
22.525,95720.588
23.261,95769.608
23.8,95818.627
24.389,95879.902
25.027,95965.686
25.567,96014.706
26.107,96075.98
26.549,96125
27.137,96174.02
27.579,96210.784
28.07,96259.804
28.511,96284.314
28.904,96321.078
29.297,96357.843
29.689,96406.863
30.278,96455.882
30.916,96517.157
31.505,96553.922
31.897,96602.941
32.535,96651.961
33.026,96688.725
33.419,96737.745
33.909,96786.765
34.547,96835.784
34.989,96872.549
35.431,96909.314
35.921,96946.078
36.265,96982.843
36.756,97044.118
37.197,97093.137
37.688,97129.902
37.786,97178.922
38.13,97191.176
38.571,97227.941
38.915,97240.196
39.258,97289.216
39.651,97338.235
40.093,97362.745
40.583,97411.765
40.878,97436.275
41.27,97485.294
41.663,97522.059
42.326,97583.333
