0.952,96713.45
3.173,94725.146
5.076,91567.251
5.711,88760.234
7.614,86187.135
10.152,83497.076
12.69,81274.854
17.766,79286.55
27.919,79754.386
36.802,80690.058
45.051,81157.895
55.203,81859.649
61.548,82444.444
69.162,82912.281
78.046,83497.076
86.294,84198.83
94.543,84900.585
102.792,85485.38
111.675,86304.094
121.827,86888.889
132.614,87707.602
139.594,88643.275
151.015,89461.988
166.878,90514.62
176.396,90982.456
184.01,91450.292
192.893,92736.842
201.142,93438.596
208.122,94023.392
215.736,94725.146
225.888,95894.737
232.868,96362.573
242.386,96947.368
249.048,97064.327
