,Section,Status,Error code,Reference,Para.DynPar.r2,Para.DynPar.v2,Rocket.Aero.Coefs.delta
39,,,0,39,[ 34.66683458 -10.90200351  -1.        ],[ 4.70507679e-07 -4.02573813e-07 -1.05072900e+01],-0.006990457764451506
40,,,0,40,[35.68058305  9.67445247 -1.        ],[ 5.16536968e-07  3.61341764e-07 -1.05072900e+01],0.006040899672792456
41,,,0,41,[16.63165538 12.59564867 -1.        ],[-2.03362916e-07  2.58369412e-07 -1.05072900e+01],0.02078160271460805
42,,,0,42,[38.84077982 -0.65340533 -1.        ],[ 6.63472567e-07 -2.52071815e-08 -1.05072900e+01],-0.00037798941929333184
43,,,0,43,[37.77339818 -5.85926227 -1.        ],[ 6.13272987e-07 -2.23701318e-07 -1.05072900e+01],-0.0034747036851587977
44,,,0,44,[30.24074684 14.22495251 -1.        ],[ 2.76376371e-07  4.95703515e-07 -1.05072900e+01],0.010396380297691446
45,,,0,45,[38.20768864  4.56427535 -1.        ],[ 6.33626874e-07  1.75013388e-07 -1.05072900e+01],0.002679288824892114
46,,,0,46,[ 28.08816512 -15.06383855  -1.        ],[ 1.86436620e-07 -5.06925253e-07 -1.05072900e+01],-0.011866259536633332
47,,,0,47,[ 25.37993417 -15.56988503  -1.        ],[ 7.82848207e-08 -4.96472740e-07 -1.05072900e+01],-0.013679577987049813
48,,,0,48,[38.52697731  3.26366251 -1.        ],[ 6.48654973e-07  1.25533606e-07 -1.05072900e+01],0.001901705273993329
49,,,0,49,[31.99756609 13.20837909 -1.        ],[ 3.5204231e-07  4.7185696e-07 -1.0507290e+01],0.009134998600956578
50,,,0,50,[37.2157421 -7.145541  -1.       ],[ 5.87274216e-07 -2.71268520e-07 -1.05072900e+01],-0.0042945019863062164
51,,,0,51,[38.73673329 -1.9595074  -1.        ],[ 6.58553071e-07 -7.55245486e-08 -1.05072900e+01],-0.001136299503401912
52,,,0,52,[21.8060856  15.33684146 -1.        ],[-5.34470219e-08  4.42295953e-07 -1.05072900e+01],0.016170259852319104
53,,,0,53,[36.52324421  8.41934685 -1.        ],[ 5.55214958e-07  3.17334113e-07 -1.05072900e+01],0.005146589367424819
54,,,0,54,[ 33.45285963 -12.08749714  -1.        ],[ 4.16129644e-07 -4.39942842e-07 -1.05072900e+01],-0.008013162125267249
55,,,0,55,[ 30.24074684 -14.22495251  -1.        ],[ 2.76376372e-07 -4.95703516e-07 -1.05072900e+01],-0.01039638029769145
56,,,0,56,[37.77339818  5.85926227 -1.        ],[ 6.13272988e-07  2.23701320e-07 -1.05072900e+01],0.003474703685158796
57,,,0,57,[28.08816512 15.06383855 -1.        ],[ 1.86436613e-07  5.06925253e-07 -1.05072900e+01],0.011866259536633329
58,,,0,58,[38.20768864 -4.56427536 -1.        ],[ 6.33626869e-07 -1.75013386e-07 -1.05072900e+01],-0.0026792888248921157
59,,,0,59,[35.68058305 -9.67445247 -1.        ],[ 5.16536961e-07 -3.61341776e-07 -1.05072900e+01],-0.006040899672792458
60,,,0,60,[34.66683458 10.90200351 -1.        ],[ 4.70507679e-07  4.02573814e-07 -1.05072900e+01],0.006990457764451504
61,,,0,61,[38.84077982  0.65340533 -1.        ],[ 6.63472559e-07  2.52071821e-08 -1.05072900e+01],0.0003779894192933299
62,,,0,62,[ 16.63165538 -12.59564867  -1.        ],[-2.03362927e-07 -2.58369406e-07 -1.05072900e+01],-0.02078160271460805
63,,,0,63,[ 18.14686212 -13.81952475  -1.        ],[-1.67724222e-07 -3.30384168e-07 -1.05072900e+01],-0.019175645112133897
64,,,0,64,[38.8245332  0.9799719 -1.       ],[ 6.62703782e-07  3.78010131e-08 -1.05072900e+01],0.0005671655956361408
65,,,0,65,[34.38340896 11.20295657 -1.        ],[ 4.57738425e-07  4.12325423e-07 -1.05072900e+01],0.0072384331021442426
66,,,0,66,[35.90643853 -9.3628388  -1.        ],[ 5.26867642e-07 -3.50567779e-07 -1.05072900e+01],-0.005812717529861416
67,,,0,67,[38.29802492 -4.23949966 -1.        ],[ 6.37873806e-07 -1.62703600e-07 -1.05072900e+01],-0.0024834545925489083
68,,,0,68,[27.4716815  15.23076186 -1.        ],[ 1.6129376e-07  5.0686609e-07 -1.0507290e+01],0.012279598998756124
69,,,0,69,[37.64583292  6.18160569 -1.        ],[ 6.07311627e-07  2.35703044e-07 -1.05072900e+01],0.0036770858467778064
70,,,0,70,[ 30.71266466 -13.9837552   -1.        ],[ 2.96509282e-07 -4.90699790e-07 -1.05072900e+01],-0.010064884766284386
71,,,0,71,[ 33.77703301 -11.79605171  -1.        ],[ 4.30572293e-07 -4.31034678e-07 -1.05072900e+01],-0.007749389142993549
